Initial Current (in A),I2,Ballistic Throw(cm),Mean d1(m)
1.1,-1.2,19.7,0.197
,,19.7,
1.1,1.0,0.1,0.001
,,0.1,
1.1,0.9,0.2,0.002
,,0.2,
1.1,0.8,0.3,0.003
,,0.3,
1.1,0.7,0.4,0.004
,,0.4,
1.1,0.6,0.6,0.006
,,0.6,
1.1,0.5,0.8,0.008
,,0.8,
1.1,0.4,1,0.01
,,1,
1.1,0.3,1.3,0.013
,,1.3,
1.1,0.2,1.8,0.018
,,1.8,
1.1,0.1,2.2,0.022
,,2.2,
1.1,0,2.9,0.029
,,2.8,
1.1,-0.1,3.7,0.037
,,3.5,
1.1,-0.2,6.3,0.063
,,6.3,
1.1,-0.3,8.6,0.086
,,8.6,
1.1,-0.4,11.1,0.111
,,11.3,
1.1,-0.5,12.8,0.128
,,13.0,
1.1,-0.6,14.2,0.142
,,14.4,
1.1,-0.7,16.2,0.162
,,16.2,
1.1,-0.8,17,0.17
,,17,
1.1,-0.9,17.7,0.177
,,17.6,
1.1,-1,18.6,0.186
,,18.4,
